Name,Ticker,Description,Change (%),Volume (24H),Market Cap,Holders,PriceETH,PriceBTC,PriceUSD
BandToken,BAND,"A data governance framework for Web3.0 applications operating as an open-source standard for the decentralized management of data. Band Protocol connects smart contracts with trusted off-chain information, provided through community-curated oracle data providers.",8.25,125678532,512604404,28873,0.0037640000000000004,3.0399999999999996e-4,15.33
Populous,PPT,"Aims to rebuild invoice financing block by block, for invoice buyers and sellers.",7.4,5420048,140461010,28688,9.53e-4,7.699999999999999e-5,3.88
Dock,DOCK,"dock.io is a decentralized data exchange protocol that lets people connect their profiles, reputations and experiences across the web with privacy and security.",9.68,8580258,53791776,28369,2.4e-5,2e-6,0.09570000000000001
MetaGraphChain,BKBT,Value Discovery Platform of Block Chain & Digital Currencies Based On Meta-graph Chain,6.659999999999999,216242,6935384,28286,0,0,0.0017000000000000001
Theta Token,THETA,A decentralized peer-to-peer network that aims to offer improved video delivery at lower costs.,9.360000000000001,405922264,10086692914,28054,0.0024680000000000006,1.99e-4,10.05
SwissBorg,CHSB,Crypto Wealth Management.,13.28,8304039,1129332759,27972,2.92e-4,2.4e-5,1.1900000000000002
Mainframe Token,MFT,A decentralized network for censorship-resistant message routing.,11.3,30006217,143968001,27905,4e-6,0,0.0153
1World,1WO,1World is first of its kind media token and new generation Adsense. 1WO is used for increasing user engagement by sharing 10% ads revenue with participants and for buying ads.,5.08,9181,2333619,27727,2.3000000000000003e-5,2e-6,0.0938
KNOW,KNOW,A New World-Class Crypto Exchange: A Cross-blockchain Crypto Exchange with P2P Fiat Conversion Function,3.2800000000000002,347719,279303,27357,1e-6,0,0.0023
Bluzelle,BLZ,Aims to be the next-gen database protocol for the decentralized internet.,1.1900000000000002,63875381,103315235,27345,8.800000000000001e-5,7e-6,0.358
AidCoin,AID,Powering the AIDChain platform to make the nonprofit sector more transparent.,12.81,8795,10862416,26918,4.9000000000000005e-5,4e-6,0.1981
Swipe,SXP,Swipe is a cryptocurrency wallet and debit card that enables users to spend their cryptocurrencies over the world.,10.850000000000001,307074344,356540060,26702,0.001012,8.2e-5,4.119999999999999
Fantom Token,FTM,"Fantom is a high-performance, scalable, customizable, and secure smart-contract platform. It is designed to overcome the limitations of previous generation blockchain platforms. Fantom is permissionless, decentralized, and open-source.",17.56,179910066,1806215765,26606,1.73e-4,1.4000000000000001e-5,0.7028
Bread,BRD,BRD is the simple and secure bitcoin wallet.,12.139999999999999,525068,25539706,26587,7.699999999999999e-5,6e-6,0.3152
SIRIN,SRN,"SIRIN LABS’ aims to become the world’s leader in secure open source consumer electronics, bridging the gap between the mass market and the blockchain econom",8.39,903651,10399493,26574,5e-6,0,0.0195
SingularityNET,AGI,Decentralized Marketplace for AI.,11.25,3959367,319044518,26389,8.1e-5,7e-6,0.3289
Walton,WTC,Value Internet of Things (VIoT) constructs a perfect commercial ecosystem via the integration of the real world and the blockchain.,21.630000000000003,28316895,55534377,26170,4.62e-4,3.7e-5,1.8800000000000001
BOB Token,BOB,Using Blockchain to eliminate review fraud and provide lower pricing in the home repair industry through a decentralized platform.,26.73,57201,3556171,26029,3e-6,0,0.0134
Ampleforth Governance,FORTH,FORTH is the governance token for the Ampleforth protocol. AMPL is the first rebasing currency and a key DeFi building block for denominating stable contracts.,5.3,35056019,263706968,25857,0.007746,6.25e-4,31.55
Measurable Data Token,MDT,Decentralized Data Exchange Economy.,14.08,9376697,37333733,25717,1.5000000000000002e-5,1e-6,0.061399999999999996
Hydro Protocol,HOT,A network transport layer protocol for hybrid decentralized exchanges.,11.78,748948,6389810,25516,4e-6,0,0.015399999999999999
RNTB Token,RNTB,BitRent is the blockchain platform meant to attract commercial and residential property investments at an early stage of construction in order to gain maximum profit by selling and renting out the acquired property,NA,0,72962,25448,0,0,1e-4
0chain,ZCN,"0Chain is a decentralized storage platform providing privacy and security protection. It protects companies from GDPR liability, makes data breach impossible, and reduces legal discovery and compliance costs.",19.71,578499,60296258,24914,3.0399999999999996e-4,2.5e-5,1.24
Zilliqa,ZIL,Zilliqa is a high-throughput public blockchain platform - designed to scale to thousands ​of transactions per second.,12.51,234279128,2418315252,24632,4.9000000000000005e-5,4e-6,0.2
PolicyPal Network,PAL,Dual-Layered Protocol for Financial Assets,NA,4920,113251,24611,0,0,2e-4
RipioCreditNetwork,RCN,Ripio Credit Network is a global credit network based on cosigned smart contracts and blockchain technology that connects lenders and borrowers located anywhere in the world and on any currency,18.04,2596845,73410706,23454,3.4e-5,3e-6,0.13890000000000002
SwftCoin,SWFTC,SWFT is a cross-blockchain platform.,5.58,13124310,23407521,23387,1e-6,0,0.0036
MATRIX AI Network,MAN,Aims to be an open source public intelligent blockchain platform,8.06,4511169,13801097,23161,2.3000000000000003e-5,2e-6,0.09179999999999999
All Sports Coin,SOC,All Sports public blockchain hopes to fill in the blank of blockchain application in sports industry through blockchain technology.,12.350000000000001,4023545,22491243,22935,5e-6,0,0.0191
Medical Token Currency,MTC,MTC is an utility token that fuels a healthcare platform providing healthcare information to interested parties on a secure blockchain supported environment.,-2.34,98522,6815563,22881,2e-6,0,0.0083
Tierion Network Token,TNT,Tierion creates software to reduce the cost and complexity of trust. Anchoring data to the blockchain and generating a timestamp proof.,NA,103,6464491,22850,4e-6,0,0.015099999999999999
TokenClub Token,TCT,"TokenClub, a blockchain-based cryptocurrency investment service community",5.99,9253150,35368117,22750,1.5000000000000002e-5,1e-6,0.0606
Veritaseum,VERI,"Veritaseum builds blockchain-based, peer-to-peer capital markets as software on a global scale.",-14.719999999999999,72011,48087987,22681,0.005652,4.56e-4,23.04
PILLAR,PLR,A cryptocurrency and token wallet that aims to become the dashboard for its users' digital life.,12.02,25923,18803042,22648,1.8e-5,1e-6,0.07220000000000001
Cortex Coin,CTXC,Decentralized AI autonomous system.,8.29,6320025,3408495,22588,8.300000000000001e-5,7e-6,0.3388
savedroid,SVD,Savedroid creates a unique ai-fueled ecosystem of crypto saving and investing for the masses.,9.450000000000001,292,282944,22520,0,0,1e-4
EventChain,EVC,Blockchain secured event ticketing.,27.74,34970,1909265,22420,1.5000000000000002e-5,1e-6,0.0616
CyberMiles,CMT,Empowering the Decentralization of Online Marketplaces.,9.11,4238798,16750922,22382,5e-6,0,0.020900000000000002
BlitzPredict,XBP,"Decentralized Betting Exchange, Built on Augur and 0x",11.139999999999999,563,799181,21929,1e-6,0,0.0022
BANCA,BANCA,"Decentralized intelligent blockchain-based community, using AI and Big Data.",-4.52,3559,1632979,21840,0,0,1e-4
IOT Chain,ITC,IoT Chain aims to be a A High Security Lite IoT OS,12.3,7425792,13125766,21834,4.5e-5,4e-6,0.1842
ESSENTIA,ESS,Essentia is a masternoded multi-chained set of protocols connecting centralized and decentralized resources to create new powerful interactions and experiences.,12.96,342224,6113015,21824,1e-6,0,0.0056
ZBToken,ZB,Blockchain assets financial service provider.,6.06,20437543,60928029,21481,1.3500000000000003e-4,1.1000000000000001e-5,0.5501
EnergiToken,ETK,EnergiToken rewards energy saving behaviour. Our blockchain solution will create a platform to reward energy efficient behaviour through EnergiToken.,NA,0,46602,21372,0,0,0
MCAP,MCAP,"MCAP labs focusses on three key areas - Mining research, ICO evaluation &
ICO investment.",NA,0,48542,20885,1e-6,0,0.0046
qiibeeToken,QBX,"The global standard for loyalty on the blockchain. With qiibee, businesses around the world can run their loyalty programs on the blockchain.",4.45,474,4259957,20858,2e-6,0,0.0102
DIAToken,DIA,DIA is delivering verifiable financial data from traditional and crypto sources to its community.,4.84,53034895,178529032,20706,0.001052,8.5e-5,4.29
Helbiz,HBZ,"HBZ is a cryptocurrency and blockchain based transportation ecosystem to seamlessly offer transportation globally from scooters and cars to tolls and international flights through a partner network with ease, full transparency while users maintain full ownership of their personal data.",NA,20,552946,20657,0,0,6e-4
UniBright,UBT,The unified framework for blockchain based business integration,15.79,1958822,252141197,20619,4.1500000000000006e-4,3.3e-5,1.6900000000000002
Bounty0x,BNTY,"A decentralized bounty hunting platform enabling anyone to manage bounty programs, and bounty hunters to receive payment for completing bounty tasks.",22.69,41917,620624,20407,1e-6,0,0.0038
BOX Token,BOX,"BOX offers a secure, convenient and streamlined crypto asset management system for institutional investment, audit risk control and crypto-exchange platforms.",5.75,23,1741602,20315,1.2e-5,1e-6,0.049100000000000005
Cobinhood,COB,COBINHOOD is a ZERO Trading Fees cryptocurrency exchange with vision to maximize traders' profits.,NA,228,229139,20098,0,0,6e-4
Typerium,TYPE,Decentralised Content Creation Platform,-32.39,2532,349020,20070,0,0,5e-4
Rarible,RARI,Create and sell digital collectibles secured with blockchain.,51.5,7938696,73175638,19872,0.004632,3.74e-4,18.88
Po.et,POE,"Po.et aims to reclaim value for content creators, publishers and consumers.",10.68,1436,765955,19547,0,0,3e-4
DAV Token,DAV,"Blockchain-based transportation protocol enabling a decentralized, peer to peer, global transportation network",6.29,2771,2603391,18955,1e-6,0,0.0038
EBCoin,EBC,The universal cryptocurrency based on Ethereum for travelers in the world,-43.56,4,626863,18889,0,0,1e-4
UNetworkToken,UUU,"U Network is a decentralized content asset storage, notarization, distribution, publishing and valuation network based on the blockchain.",8.94,1686764,6024310,18873,0,0,9e-4
SENTINEL PROTOCOL,UPP,"Sentinel Protocol is a blockchain-based threat intelligence platform that defends against hacks, scams, and fraud using crowdsourced threat data collected by security experts; called the Sentinels.",6.76,11344183,43925125,18870,3.3e-5,3e-6,0.133
Faceter,FACE,Сomputer vision surveillance technology powered by fog network of miners.,27.85,3278,905476,18850,0,0,0.0018
Stox,STX,Blockchain Prediction Markets Platform.,-12.629999999999999,308,840461,18630,4e-6,0,0.0167
CREDITS,CS,CREDITS is an open blockchain platform with autonomous smart contracts and the internal cryptocurrency. The platform is designed to create services for blockchain systems using self-executing smart contracts and a public data registry.,2.14,890123,19995863,18628,2.2000000000000003e-5,2e-6,0.08929999999999999
Compound Dai,cDAI,"Compound is an open-source, autonomous protocol built for developers, to unlock a universe of new financial applications. Interest and borrowing, for the open financial system.",-0.28,501951008,4212138462,18563,5e-6,0,0.021400000000000002
EchoLink,EKO,EKO Blockchain Platform is a public blockchain service built on top of Proof of Professional Stake consensus protocol (PoPS).,10.77,242074,1900026,18444,1e-6,0,0.0038
Insolar,INS,Insolar is building an open-source enterprise-grade blockchain platform to enable seamless interactions between companies and new growth opportunities powered by distributed trust,2.3299999999999996,1473267,249375,18441,0,0,0.0019
RLC,RLC,Blockchain Based distributed cloud computing,61.78,987240723,770427655,18416,0.002684,2.1700000000000002e-4,10.94
Bloom,BLT,Decentralized credit scoring powered by Ethereum and IPFS.,7.51,26234,8580112,18328,3.7e-5,3e-6,0.15120000000000003
indaHash Coin,IDH,Influencer marketing tool to connect brands and influencers.,-6.319999999999999,1072,2264125,18300,2e-6,0,0.0068000000000000005
BLOCKMASON CREDIT PROTOCOL TOKEN,BCPT,Democratizing the creation of credit through permanently recorded debts and obligations.,20.22,801,755737,18200,2e-6,0,0.006500000000000001
Rate3,RTE,Payment Without Borders - A decentralised protocol for cross border payments and credit scoring. Empowered by Stellar and Ethereum.,10.79,117027,1740373,18187,0,0,0.0017000000000000001
FirstBlood,ST,FirstBlood.io (“FirstBlood”) is a decentralized Esports gaming platform that is powered by the blockchain,NA,940,982246580,18158,5.6000000000000006e-5,5e-6,0.22970000000000002
Tripio,TRIO,Decentralized travel marketplace and protocols.,7.119999999999999,1198646,4503402,18089,0,0,0.0017000000000000001
Bee,BEE,Beenest is a home sharing platform for hosts to list their homes and for guests to find accommodations.,5.17,0,98255,17925,0,0,4e-4
MaverickChain,MVC,Maverick System is a BAAS(Blockchain As A Service) solution platform which provides multi-chains-supported SDK.,NA,3557,321990,17907,1e-6,0,0.0036
CarryToken,CRE,"Carry makes personal data fair for consumers, marketers and merchants",5.44,18618931,135795379,17880,4e-6,0,0.0157
ArcBlock,ABT,"An open source protocol that provides an abstract layer for accessing underlying blockchains, enabling your application to work on different blockchains.",7.58,11015136,19861461,17762,4.9000000000000005e-5,4e-6,0.20120000000000002
MEDIBIT,MEDIBIT,MediBit is paving a way for healthcare freedom,NA,2897,256618,17748,0,0,0
Egretia,EGT,HTML5 Blockchain Engine and Platform,4.59,5977396,16697187,17670,1e-6,0,0.0043
Parsiq Token,PRQ,A Blockchain monitoring and compliance platform.,10.09,1235131,166479142,17310,3.9e-4,3.1e-5,1.59
ATN,ATN,"ATN is a global artificial intelligence API marketplace where developers, technology suppliers and buyers come together to access and develop new and innovative forms of A.I. technology.",-0.75,162316,1145144,17199,3e-6,0,0.013200000000000002
PromotionCoin,PC,Promotion chain has come to counter difficulties facing traditional promotion industry,7.13,121357,616720,17135,0,0,1e-4
Quant,QNT,Blockchain operating system that connects the world’s networks and facilitates the development of multi-chain applications.,4.51,15548808,744575449,16909,0.014104,0.001139,57.49
SPINDLE,SPD,Unique Investment/Asset Management Platform,9.229999999999999,489,394999,16853,0,0,1e-4
WAX Token,WAX,Global Decentralized Marketplace for Virtual Assets.,12.09,12732306,320107350,16660,5e-5,4e-6,0.20450000000000002
CoinDash Token,CDT,"Blox is an open-source, fully non-custodial staking platform for Ethereum 2.0. Their goal at Blox is to simplify staking while ensuring Ethereum stays fair and decentralized.",7.54,597499,22688152,16550,8e-6,1e-6,0.0335
PumaPay,PMA,"PumaPay's open-source Pull Payment Protocol is a comprehensive blockchain solution which offers robust payment mechanisms far more credible, efficient, flexible, cost-effective, and scalable than current implementations (credit cards).",4.18,290186,12783823,16380,0,0,5e-4
WaBi,WaBi,"Wabi ecosystem connects Brands and Consumers, enabling an exchange of value. Consumers get Wabi for engaging with Ecosystem and redeem the tokens at a Marketplace for thousands of products.",19.22,2689857,29039211,16377,1.19e-4,1e-5,0.48680000000000007
SAND,SAND,"The Sandbox is a virtual world where players can build, own, and monetize their gaming experiences in the Ethereum blockchain using SAND, the platform’s utility token.",14.69,66913015,315316579,16300,1.11e-4,9e-6,0.4529
Trace,TRAC,Purpose-built Protocol for Supply Chains Based on Blockchain.,24.9,2876279,225238270,16229,1.52e-4,1.2e-5,0.621
NeuroToken,NTK,Neuromation is building a global network of AI specialists to power the next generation of AI innovation.,7.17,1421,8036262,15974,2.3000000000000003e-5,2e-6,0.0931
Shopping.io,SPI,"Shopping.io is a state of the art platform that unifies all major eCommerce platforms, allowing consumers to enjoy online shopping seamlessly, securely, and cost-effectively.",13.99,2727494,121770700,15868,0.031183,0.0025180000000000003,127.11
PAID Network,PAID,"PAID Network is a business toolkit that encompassing SMART Agreements, escrow, reputation-scoring, dispute arbitration and resolution.",8.8,1967673,166339372,15791,4.3900000000000005e-4,3.5000000000000004e-5,1.79
MTC Mesh Network,MTC,MTC Mesh Network connects one machine with another in the IoT.,NA,0,138417,15698,0,0,4e-4
SP8DE Token,SPX,The Game of Chance.Changed,-3.9,9256,1309385,15653,0,0,2e-4
Signals Network Token,SGN,Marketplace of data science powered signals for trading cryptocurrencies,NA,47,185399,15652,0,0,0.0015999999999999999
Couchain,COU,The Couchain Blockchain is a robust outcome of digital technology that can be used for real world applications.,NA,1673,51510,15483,0,0,0
Centra,CTR,Centra PrePaid Cryptocurrency Card,NA,0,1120552,15468,4e-6,0,0.0165
DWS,DWS,A Decentralized WI-FI Sharing Ecosystem Secured And Incentivized Through Blockchain Technology.,-15.77,317559,584009,15404,1e-6,0,0.0021
BTOCoin,BTO,"Bottos is more than an AI public chain with both data
and model marketplaces,
Bottos is a platform for the value exchange of AI and affiliated industries based on data feeding, with the ultimate goal of building a distributed AI new ecosystem.",6.58,35656,1692030,15372,1e-6,0,0.0031
LikeCoin,LIKE,LikeCoin aims to reinvent the Like by realigning creativity and reward. We enable attribution and cross-application collaboration on creative contents,2.14,62755,21273731,15314,5e-6,0,0.0206
Raiden,RDN,"The Raiden Network is an off-chain scaling solution, enabling near-instant, low-fee and scalable payments. It’s complementary to the Ethereum blockchain and works with any ERC20 compatible token.",13.3,1186595,53875926,15225,1.99e-4,1.6000000000000003e-5,0.8118000000000001
UBEX Token,UBEX,"Ubex is a global decentralized advertising exchange where companies advertise effectively, while publishers profitably tokenize ad slots on their resources.",63.07,12140,3049221,15156,0,0,0.001
BANKEX,BKX,The BANKEX Proof-of-Asset (PoA) Protocol is a new standard used to create smart assets and smart contracts for decentralized capital markets,NA,0,2684,15152,0,0,0
Dusk Network,DUSK,Dusk streamlines the issuance of digital securities and automates trading compliance with the programmable and confidential securities.,13.16,4091500,78179015,15144,5.3e-5,4e-6,0.21750000000000003
UChain Token,UCN,The Next Generation Distributed Smart Network Blockchain for the Sharing Economy,NA,3817,63138,15114,0,0,2e-4
UCOT,UCT,Ubique Chain Of Things (UCT) is utility token and operates on its own platform which combines IOT and blockchain technologies in supply chain industries.,12.96,1086,2652913,15093,1e-6,0,0.0051
MobileGo,MGO,A dedicated token to bring eSports to everyone.,-3.8099999999999996,1717639,1633340,15013,5e-6,0,0.021
Online.io,OIO,"Online.io platform aims at revolutionizing the browsing experience by making it faster, ad free, more reliable, secure and non-trackable, thus marking a groundbreaking change of the Internet.",NA,0,2932805,15012,1e-6,0,0.0033
Primas Token,PST,A content publishing platform.,4.56,9203967,2136248,14939,1e-5,1e-6,0.0417
Lambda,LAMB,Blockchain based decentralized storage solution,11.360000000000001,9958430,98281992,14904,1.6000000000000003e-5,1e-6,0.066
NKN,NKN,NKN is the new kind of P2P network connectivity protocol & ecosystem powered by a novel public blockchain.,6.76,31976004,320038501,14834,1.3500000000000003e-4,1.1000000000000001e-5,0.5483
Fetch,FET,"Fetch.ai is building tools and infrastructure to enable a decentralized digital economy by combining AI, multi-agent systems and advanced cryptography.",13.94,26590511,334307770,14827,1.1800000000000001e-4,1e-5,0.48200000000000004
MediShares,MDS,Mutual Aid Marketplace On BlockChain,8.53,1104801,12193711,14796,3e-6,0,0.0106
ODEM Token,ODEM,Unlocking human potential. Powering your education and certifications on the blockchain,-1.04,355541,23264787,14661,2.6000000000000002e-5,2e-6,0.10590000000000001
Smart Advertising Transaction Token,SATT,"SaTT is a new alternative of Internet Ads. Announcers and publishers meet up in a Dapp which acts as an escrow, get neutral metrics and pay fairly publishers.",-9.11,139378,7237857,14594,0,0,0.0017000000000000001
Armor,ARMOR,"Armor is a smart insurance aggregator for DeFi, built on trustless and decentralized financial infrastructure.",11.76,3255220,83033445,14582,2.31e-4,1.9e-5,0.9417000000000001
BAX,BAX,A decentralised banking platform that leverages blockchain and biometrics to offer anyone in the world access to a UK bank account for peer-to-peer financial services.,2.46,3431554,48687643,14579,0,0,0.0015
PayPie,PPP,PayPie platform brings ultimate trust and transparency to the financial markets by introducing the world’s first risk score algorithm based on business accounting.,0.04,0,1835291,14553,5e-6,0,0.0201
ICONOMI,ICN,ICONOMI Digital Assets Management platform enables simple access to a variety of digital assets and combined Digital Asset Arrays,NA,0,21441525,14528,5.3e-5,4e-6,0.21670000000000003
Nebulas,NAS,Decentralized Search Framework,7.81,12216876,46167405,14484,2.48e-4,2e-5,1.01
BBN,BBN,Banyan Network is a fusion of big data network based on blockchain technology called Data Fusion Value Chain Network (DVN).,NA,0,272703,14417,0,0,4e-4
Zilla,ZLA,Aims to create an ICO purchasing platform.,NA,0,70,14313,0,0,0
DigitexFutures,DGTX,"The DGTX Token is a protocol token which value derives from its utility as a vehicle for commission-free trading of futures contracts on the price of Bitcoin, Ethereum and Litecoin against the US Dollar.",4.42,2308121,10341760,14303,3e-6,0,0.0121
0xcert Protocol Token,ZXC,"Create, own, and validate unique assets on the blockchain.",-0.8300000000000001,1039465,2330735,14146,1e-6,0,0.0056
CocosToken,COCOS,The platform for the next generation of digital game economy.,9.83,2715091,39437533,14023,2.29e-4,1.9e-5,0.9347000000000001
ThriveToken,THRT,decentralized Ad marketplace,6.23,453,243396,14000,1e-6,0,0.002
Netkoin,NTK,Location Based Advertising On The Blockchain.,276.21,7,1136292,13999,0,0,2e-4
YOU Chain,YOU,"YOUChain will create a public infrastructure chain that all people can participate, produce personal virtual items and trade personal virtual items on their own.",5.17,528434,8373851,13892,3e-6,0,0.0113
cVToken,cV,Decentralized car history registry built on blockchain.,15.18,349858,12486460,13857,0,0,0.0015999999999999999
UMA Voting Token v1,UMA,UMA is a decentralized financial contracts platform built to enable Universal Market Access.,2.06,56478886,1532574929,13848,0.006233999999999999,5.03e-4,25.41
AiLink Token,ALI,Open social platform based on blockchain,0.73,1729,552416,13755,0,0,1e-4
PalletOneToken,PTN,Protocol for Abstract-Level Ledger Ecosystem,13.1,162,374759,13700,0,0,9e-4
SURETY Token,SURE,Smart Micro-Insurance for the Unbanked on Blockchain.,NA,0,84063,13564,0,0,0.0015
Simple Token,ST,OST KIT gives you all the tools you need to run your blockchain-powered economy on open scalable sidechains.,13.56,913248,25804481,13536,9e-6,1e-6,0.0372
Rocket Pool,RPL,Rocket Pool is a decentralised Ethereum Proof of Stake pool designed to be compatible with Casper.,11.19,2550724,374452261,13478,0.0058390000000000004,4.7100000000000006e-4,23.8
NEVERDIE,NDC,NEVERDIE Studios aims to use the value of the NEVERDIE Coin to make virtual reality fulfill its potential.,NA,0,22510,13449,0,0,2e-4
NANJCOIN,NANJ,NANJCOIN is a cryptocurrency created using blockchain technology with the goal of connecting people and sports in ways that previously didn’t exist.,-15.729999999999999,381,2461512,13422,0,0,1e-4
STPT,STPT,Decentralized Network for the Tokenization of any Asset.,7.96,16594494,85428653,13412,1.9e-5,1e-6,0.07540000000000001
GoToken,GOT,GoNetworks' GoToken - A Solid Cryptocurrency,-0.65,64,273133,13314,1e-6,0,0.0038
Guaranteed Entrance Token,GET,The GET Protocol offers a blockchain-based smart ticketing solution that can be used by everybody who needs to issue admission tickets in an honest and transparent way.,23.419999999999998,1664270,81054821,13154,0.0012490000000000001,1.01e-4,5.09
Golem Network Token,GLM,Golem is going to create the first decentralized global market for computing power,10.09,3323935,427281343,12934,1.05e-4,8e-6,0.42730000000000007
DEBITUM,DEB,Borderless business SME funding.,1.24,60256,522971,12844,1e-6,0,0.0025
QASH,QASH,"We envision QASH to be the preferred payment token for financial services,
like the Bitcoin for financial services.
As more financial institutions, fintech startups and partners adopt QASH
as a method of payment, the utility of QASH will scale, fueling
the Fintech revolution.",7.970000000000001,793122,36971814,12841,2.6000000000000002e-5,2e-6,0.1053
Insights Network,INSTAR,"The Insights Network’s unique combination of blockchain technology, smart contracts, and secure multiparty computation enables the individual to securely own, manage, and monetize their data.",44.290000000000006,86404,7964960,12809,9e-6,1e-6,0.0378
Spice,SFI,Saffron is an asset collateralization platform where liquidity providers have access to dynamic exposure by selecting customized risk and return profiles.,11.83,1413330,92223296,12803,0.27547200000000005,0.022241999999999994,1122.8799999999999
SelfKey,KEY,"SelfKey is a blockchain based self-sovereign identity ecosystem that aims to empower individuals and companies to find more freedom, privacy and wealth through the full ownership of their digital identity.",14.92,28121418,41014074,12701,4e-6,0,0.0146
Cashaa,CAS,"We welcome Crypto Businesses! We know crypto-related businesses are underserved by banks. Our goal is to create a hassle-free banking experience for ICO-backed companies, exchanges, wallets, and brokers. Come and discover the world of crypto-friendly banking.",-7,620825,36195159,12645,1.2e-5,1e-6,0.049800000000000004
Aditus,ADI,"Aditus is a revolutionary new platform bringing the world of luxury to crypto-affluents, through a privacy-centric decentralised network utilising smart contracts and blockchain technology.",13.92,153131,234018,12604,0,0,0.001
Gems,GEM,The protocol for micro task marketplace,9.44,5162,344311,12465,0,0,5e-4
Omix,OMX,"Shivom will enable DNA data donors to collaborate with revolutionary changemakers in biotechnology, healthcare industry, and government-ordained research institutes and contribute to an unprecedented era of medical marvels.",NA,0,1242707,12388,0,0,0.0013
IoTeX Network,IOTX,"IoTeX is the next generation of the IoT-oriented blockchain platform with vast scalability, privacy, isolatability, and developability. IoTeX connects the physical world, block by block.",11.31,28940710,341682617,12333,1.1000000000000001e-5,1e-6,0.0452
Tribe,TRIBE,,2.9,4697687,405672400,12297,4.0100000000000004e-4,3.2e-5,1.6334
UTN-P: Universa Token,UTNP,"The Universa blockchain is a cooperative ledger of state changes, performed by
licensed and trusted nodes.",29.959999999999997,68833,13486188,12282,1e-6,0,0.0042
Guppy,Guppy,Matchpool is a platform that creates human connections,26.14,65,235436,12276,1e-6,0,0.0033
Daneel,DAN,Blockchain news that is simple and reliable with the use of AI.,NA,426,15372,12194,0,0,7e-4
AirSwap,AST,"AirSwap is based on the Swap protocol, a peer-to-peer protocol for trading Ethereum tokens",15.719999999999999,4430058,62887581,12143,8.900000000000001e-5,7e-6,0.3635
FundRequest,FND,FundRequest is more than a platform to fund projects. We provide the best experience to fund an issue and incentivise the open source community.,NA,44,75402,12102,0,0,0.0015
Ink Protocol,XNK,Peer-to-peer transactions on any platform.,6.92,1039,1881644,11958,1e-6,0,0.0044
AION,AION,"A multi-tier blockchain system designed to address unsolved questions of scalability, privacy, and interoperability in blockchain networks",24.91,36800942,227032969,11929,1.12e-4,9e-6,0.45780000000000004
QunQunCommunities,QUN,Incentive community platform based on blockchain technology.,6.159999999999999,1688602,6913902,11926,3e-6,0,0.0102
Metal,MTL,Transfer money instantly around the globe with nothing more than a phone number. Earn rewards every time you spend or make a purchase. Ditch the bank and go digital.,12.02,21877619,224368892,11870,8.510000000000001e-4,6.9e-5,3.4699999999999998
SONM,SNM,"SONM's aims to be a secure and cost-effective fog supercomputer for general-purpose computing, from mobile app hosting to video rendering to DNA analysis.",11.51,1322343,215526402,11866,1.19e-4,1e-5,0.48710000000000003
COPYTRACK,CPY,A copyright registration platform.,NA,0,512170,11709,3e-6,0,0.0106
Paymon,PMNT,Blockchain platform that includes several innovative products.,NA,0,68313,11706,0,0,1e-4
WINGS,WINGS,"A decentralized platform to create, join and manage projects",0.96,46668,8840933,11629,2.4e-5,2e-6,0.0968
Zipper,ZIP,Unified Address Digital Assets Wallet,246.84,39,11233239,11584,0,0,7e-4
Spendcoin,SPND,Spendcoin powers the Spend.com ecosystem. The Spend Wallet App & Spend Card give our users a multi-currency digital wallet that they can manage or spend from,10.950000000000001,119,29806012,11557,8e-6,1e-6,0.0313
Datum,DAT,Datum is the decentralized marketplace for social and IoT data.,2.59,1502214,5335978,11536,1e-6,0,0.0051
Gnosis,GNO,Crowd Sourced Wisdom - The next generation blockchain network. Speculate on anything with an easy-to-use prediction market,6.35,5032874,392317449,11412,0.06366000000000001,0.0051400000000000005,259.48999999999995
STAKE,STAKE,STAKE is a new ERC20 token designed to secure the on-chain payment layer and provide a mechanism for validators to receive incentives.,6.89,5059867,97556744,11297,0.004399,3.55e-4,17.93
STK,STK,Cryptocurrency Payments straight from your smartphone.,7.01,134879,2368425,11277,2e-6,0,0.0068000000000000005
DoradoToken,DOR,"The next ""Uber"" On blockchain for all on-demand deliveries.",NA,0,44317,11269,0,0,1e-4
Upfiring,UFR,Incentivied and deentralized P2P file sharing on the Ethereum Blockchain powered by the UFR token.,-14.99,4625,3060004,11249,3.2e-5,3e-6,0.1295
Skrumble Network V2,SKM,Skrumble Network (SKM) is an innovative public blockchain that is uniquely optimized for secure communication-centric connections and transactions and dApps.,4.109999999999999,1797792,5052093,11239,1e-6,0,0.0048000000000000004
QChi,QCH,"QChi is designed for peer to peer transactions aimed at computer, gaming, health and tourism capital market.",NA,5,1126053,11135,1.3000000000000001e-5,1e-6,0.05280000000000001
Synth sUSD,sUSD,A synthetic asset issued by the Synthetix protocol which tracks the price of the United States Dollar (USD). sUSD can be traded on Synthetix.Exchange for other synthetic assets through a peer-to-contract system with no slippage.,0.16,185692602,194193812,11089,2.5e-4,2e-5,1.02
CUBE,AUTO,CUBE is an autonomous car security platform backed by blockchain technology.,0.42000000000000004,163339,7234915,11077,0,0,0.0011
Injective Token,INJ,Injective is a layer-2 DEX that unlocks the potential of decentralized derivatives and borderless DeFi.,4.04,75841047,430742083,11076,0.004391,3.55e-4,17.9
Gold Reward,GRX,,NA,78,131205,11075,2e-6,0,0.0101
